date,ad_ratio_20,adr_pct,atr,atr_from_sma50,atr_pct,atr_pct_pctl_252,atr_pctl_252,atr_pctl_63,avg_volume,bar_date,bar_scale_jumps,bar_scale_mismatch,bars_stale,bo_count_1m,bo_count_1y,bo_count_3m,bo_count_6m,c_low52w,change_pct,close,cmf21,cross_ema21_up,cross_sma50_up,days_since_52wh,dcr_pct,dist_hi20_pct,ema10,ema20,ema21,ema21_atr_dist,ema21_low_dist,ema21_r,eps_growth_next_y,eps_growth_this_y,f_score,falr_252,from_open_pct,fund_asof,fund_source,h_score,h_score_pctl,high_52w,high_52w_dist,i_score,in_sp500,industry,liquid_leader,low_52w,market_cap,mdt,min_vol_3d,momentum_97,oops_buy,oops_sell,perf_1m,perf_1w,perf_1w_pctile,perf_1y,perf_34d,perf_3m,perf_3m_pctile,perf_5d,perf_6m,perf_ytd,pocket_pivot,pp_count_10d,pp_count_30d,prev_volume,range5_pct,range5_pct_pctl_252,range5_pctl_252,rel_volume,revenue_growth,rs_126d,rs_1m,rs_21d,rs_3m,rs_63d,rs_6m,rs_ibd,rs_line_pctl_126,rs_line_pctl_21,rs_line_pctl_63,rs_rating,sector,sma200_dist,sma20_dist,sma40_dist,sma50_dist,sma50_r,sp_1st,sp_2nd,sp_counter,sp_days,sp_dist_1st_pct,sp_dist_2nd_pct,sp_hl,sp_len,sp_ll,sp_ma,sp_phase,sp_setup,sp_signal,sp_stop,sp_tp1,sp_tp2,three_weeks_tight,ti65,tradeable,trend_base,twt_buy_point,vcs,vol10_green,vol10_green_count_10d,vol10_green_count_30d,vol_5d_50d,volume,wk_band_3,wk_ema10,wk_ema20,wk_tight_3
2026-08-10,,,,,,,,,0.019936,,,,,,,,,,,0.002136,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.020648,0.019936,,0.079566,,0.038092,,,0.058918,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000356,,,,
2026-08-11,,,,,,,,,0.027407,,,,,,,,,,,0.001958,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.027407,0.027407,,0.086492,,0.045204,,,0.065314,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000178,,,,
2026-08-12,,,,,,,,,0.019022,,,,,,,,,,,0.002311,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.019556,0.019022,,0.078222,,0.036444,,,0.056889,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000356,,,,
2026-08-13,,,,,,,,,0.039104,,,,,,,,,,,0.002133,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.039993,0.039104,,0.09776,,0.055812,,,0.076786,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2026-08-14,0.01317,0.012636,0.012636,0.065314,,,,,0.012636,,,,,0.012636,0.012636,0.012636,0.012636,0.012636,0.002492,0.002492,0.01317,,,,0.055526,,0.012636,0.012636,0.012636,0.058907,0.012636,0.012636,1.0,,0.545471,,0.012636,,,0.545471,,0.012636,0.012636,0.545471,,0.0,0.0,0.012636,0.0,0.051077,0.012636,0.0,,,0.012992,0.012636,0.0,0.072789,0.018509,0.029721,0.0,,0.051077,1.0,0.012636,0.012636,0.012636,,,,,0.012814,,0.545471,0.545471,0.545471,0.545471,0.545471,0.545471,0.545471,,,,,0.0,0.072789,0.012636,0.021,0.025093,0.025093,0.492436,0.492436,0.665955,0.492436,0.492436,0.492436,0.016729,0.492436,0.018687,0.015839,0.492436,0.015839,0.882541,0.492436,0.492436,0.492436,,0.031144,,0.012636,,0.034348,0.012636,0.012636,0.012636,0.025627,0.000356,,0.012636,0.012636,
2026-08-17,0.033636,0.033458,0.033458,0.068873,,,,,0.033458,0.013348,,0.013348,0.013348,0.033458,0.033458,0.033458,0.033458,0.033458,0.002492,0.002136,0.033636,,,,0.051077,,0.033458,0.033458,0.033458,0.062467,0.033458,0.033458,0.539242,0.557395,0.0,,0.033458,0.0,0.155188,0.056238,,0.033458,0.033458,0.001958,,0.0,0.0,0.033458,0.0,0.063534,0.033458,0.0,,,0.033636,0.033458,0.0,0.082043,0.038619,0.046628,0.0,0.033458,0.063534,1.0,0.033458,0.033458,0.033458,,,,,0.033458,0.17512,0.05428,0.033458,0.033458,0.042712,0.042712,0.05428,0.068162,,0.033636,,,0.0,0.082043,0.033458,0.040933,0.043424,0.043424,0.515572,0.515572,0.66987,0.515572,0.515572,0.515572,0.036839,0.515572,0.037729,0.036305,0.515572,0.036305,0.886279,0.515572,0.515572,0.515572,,0.047161,0.0,0.033458,,0.050187,0.033458,0.033458,0.033458,0.026339,0.0,,0.033458,0.033458,
2026-08-18,0.088241,0.088063,0.088063,0.114926,,,,,0.088063,0.060487,,0.060487,0.060487,0.088063,0.088063,0.088063,0.088063,0.088063,0.002491,0.002135,0.088241,0.088596,0.096602,,0.10105,,0.088063,0.088063,0.088063,0.109945,0.088063,0.088063,0.543142,0.561288,0.0,,0.088063,0.0,0.162071,0.108344,,0.088063,0.088063,0.001957,,0.0,0.0,0.088063,0.0,0.115104,0.088063,0.0,,,0.088241,0.088063,0.0,0.13076,0.091799,0.099626,0.0,0.088063,0.115104,1.0,0.088063,0.088063,0.088063,,,,,0.088063,0.181996,0.106565,0.088241,0.088241,0.096068,0.096068,0.106565,0.117773,,0.088241,,,0.0,0.13076,0.088063,0.093222,0.096424,0.096424,0.571073,0.571073,0.66216,0.571073,0.571073,0.571073,0.090197,0.571073,0.091087,0.089842,0.571073,0.089842,0.889877,0.571073,0.571073,0.571073,,0.10016,0.0,0.088063,,0.103896,0.088063,0.088063,0.088063,0.086106,0.0,,0.088063,0.088063,
2026-08-19,0.014408,0.013874,0.013874,0.065813,,,,,0.013874,0.012807,,0.012807,0.012807,0.013874,0.013874,0.013874,0.013874,0.013874,0.002134,0.002134,0.014408,0.014408,0.026503,,0.051227,,0.013874,0.013874,0.013874,0.060121,0.013874,0.013874,0.549626,0.566346,0.0,,0.013874,0.0,0.170936,0.044646,,0.013874,0.013874,0.001957,,0.0,0.0,0.013874,0.0,0.051583,0.013874,0.0,,,0.01423,0.013874,0.0,0.073639,0.019922,0.030416,0.0,0.013874,0.051583,1.0,0.013874,0.013874,0.013874,,,,,0.014052,0.190679,0.042689,0.01423,0.01423,0.026681,0.026681,0.042689,0.059943,0.051583,0.01423,0.030416,,0.0,0.073639,0.013874,0.021878,0.025969,0.025969,0.541266,0.541266,0.632159,0.541266,0.541266,0.541266,0.018143,0.541266,0.019922,0.017254,0.541266,0.017254,0.815546,0.541266,0.541266,0.541266,,0.031483,0.0,0.013874,,0.035397,0.013874,0.013874,0.013874,0.041622,0.0,,0.013874,0.013874,
2026-08-20,0.039822,0.039111,0.039111,0.071111,,,,,0.039111,0.0128,,0.0128,0.0128,0.039111,0.039111,0.039111,0.039111,0.039111,0.002133,0.002133,0.039822,0.04,0.048711,0.039111,0.057422,0.039111,0.039111,0.039111,0.039111,0.065422,0.039111,0.039111,0.549689,0.5664,0.0,,0.039111,0.0,0.171022,0.061156,,0.039111,0.039111,0.001956,,0.0,0.0,0.039111,0.0,0.068444,0.039111,0.0,,,0.039822,0.039111,0.0,0.085511,0.043378,0.052089,0.0,0.039111,0.068444,1.0,0.039111,0.039111,0.039111,,0.039111,,,0.039111,0.190578,0.0592,0.039644,0.039644,0.048,0.048,0.0592,0.071467,0.068444,0.039822,0.052089,,0.0,0.085511,0.039111,0.044978,0.048356,0.048356,0.572089,0.572089,0.628978,0.572089,0.572089,0.572089,0.041778,0.572089,0.043022,0.0416,0.572089,0.0416,0.8736,0.572089,0.572089,0.572089,,0.0528,0.0,0.039111,,0.056178,0.039111,0.039111,0.039111,0.027556,0.0,,0.039111,0.039111,0.039111
2026-08-21,0.043718,0.042829,0.042829,0.079972,,,,,0.042829,0.022925,,0.022925,0.022925,0.042829,0.042829,0.042829,0.042829,0.042829,0.002488,0.00231,0.043718,0.044073,0.05367,0.042829,0.059179,0.042829,0.042829,0.042829,0.042829,0.074818,0.042829,0.042829,0.556424,0.57153,0.0,,0.042829,0.000178,0.182513,0.068065,,0.042829,0.042829,0.001955,,0.0,0.0,0.042829,0.0,0.075884,0.042829,0.0,,,0.043718,0.042829,0.0,0.094189,0.047094,0.057046,0.0,0.042829,0.075884,1.0,0.042829,0.042829,0.042829,,0.042829,,,0.042829,0.201884,0.06611,0.04354,0.04354,0.052959,0.052959,0.06611,0.079972,0.075884,0.043718,0.057046,,0.0,0.094189,0.042829,0.049405,0.053314,0.053314,0.569753,0.569753,0.624667,0.569753,0.569753,0.569753,0.046028,0.569753,0.047805,0.045673,0.569753,0.045673,0.867247,0.569753,0.569753,0.569753,,0.057757,0.0,0.042829,,0.061845,0.042829,0.042829,0.042829,0.024347,0.000178,,0.042829,0.042829,0.042829
